Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,מה הגיל שלך?,מה המין שלך?,מאיפה את/ה בארץ?,מה הסטטוס המשפחתי שלך?,מהי ההכנסה (נטו) ממוצעת שלך?,איך היית מתאר/ת את התפיסה העצמית ואת דימוי הגוף הנוכחיים שלך?,באיזו מידה את/ה חושב/ת שהסביבה משפיעה על תפיסת דימוי הגוף שלך?,האם את/ה חושב/ת שבובות ברבי משקפות במידה מספקת מגוון צורות וצבעים של נשים אמיתיות?,באיזו מידה לדעתך בובות הברבי משפיעות לטובה על התפיסה החברתית למודל יופי?,האם היית שוקל/ת לרכוש את בובות הברבי לילדים שלך? (באופן היפותטי במידה ואין לך ילדים),באיזו תדירות את/ה אוכל/ת מקדונלד'ס?,איך היית מתאר/ת את התפיסה הכללית שלך לגבי בריאות התפריט של מקדונלדס?,כמה קלוריות את/ה מעריך/ה שיש בהמבורגר בסיסי (לא בארוחה) של מקדונלדס?,האם את/ה מחשיב/ה כעת את מקדונלד'ס כאופציה בריאה יותר בהשוואה ללפני החשיפה הפרסומת?,האם סביר שתבחר/י במקדולנד'ס כארוחת צהריים?,כמה היית מוכן/ה לשלם על ארוחת המבורגר של מקדונלד'ס?,McDonald's,Barbie
3/10/2024 18:49,3/10/2024 18:51,IP Address,89.139.50.105,100,107,TRUE,3/10/2024 18:51,R_7mTaDLLmNr3MVBn,,,,,32.0803,34.7805,anonymous,HE,25-30,אישה,גוש דן,רווק/ה,"7,500-10,000 ₪",ניטראליים,במידה רבה,לא,במידה מועטה,כנראה שלא,לפעמים,ניטראלי,500-600,כנראה שלא,ללא שינוי,עד 50 ₪,old,old
3/10/2024 19:15,3/10/2024 19:17,IP Address,89.139.50.105,100,122,TRUE,3/10/2024 19:17,R_1lAEq78QTs4sG1o,,,,,32.0803,34.7805,anonymous,HE,18-25,אישה,גוש דן,רווק/ה,אין לי הכנסה,חיוביים,במידה רבה,כן,במידה מועטה,כנראה שכן,לפעמים,ניטראלי,300-400,ניטראלי,סביר,עד 50 ₪,old,old
3/10/2024 19:49,3/10/2024 19:56,IP Address,172.56.164.108,100,392,TRUE,3/10/2024 19:56,R_2nAon4CoGcUvCTf,,,,,40.8,-73.9763,anonymous,HE,מעל 50,גבר,אני לא גר/ה בישראל,נשוי/אה,"מעל 20,000 ₪",חיוביים,במתינות,ניטראלי,במידה רבה,כנראה שכן,לפעמים,ניטראלי,פחות מ-300,ניטראלי,ללא שינוי,עד 40 ₪,new,old
3/10/2024 19:55,3/10/2024 19:59,IP Address,47.230.81.120,100,225,TRUE,3/10/2024 19:59,R_7RX0c2SrgVmV5XM,,,,,40.7961,-73.9513,anonymous,HE,מתחת ל-18,גבר,אני לא גר/ה בישראל,רווק/ה,אין לי הכנסה,חיוביים מאוד,מעט,בהחלט כן,במתינות,ניטראלי,באופן קבוע,בריא,500-600,כנראה שכן,סביר מאוד,עד 50 ₪,old,old
3/10/2024 20:00,3/10/2024 20:03,IP Address,172.56.161.134,100,168,TRUE,3/10/2024 20:03,R_31vdrU7Jz3O51PT,,,,,40.8004,-73.9504,anonymous,HE,מעל 50,אישה,אני לא גר/ה בישראל,נשוי/אה,"5,000-7,500 ₪",חיוביים,במידה רבה,לא,בכלל לא,כנראה שלא,לפעמים,ניטראלי,300-400,ניטראלי,לא סביר,עד 40 ₪,new,old
3/10/2024 20:00,3/10/2024 20:04,IP Address,188.64.206.147,100,275,TRUE,3/10/2024 20:04,R_4FxZPUL5PtCo2ui,,,,,32.0803,34.7805,anonymous,HE,18-25,אישה,שפלה,רווק/ה,"7,500-10,000 ₪",חיוביים,במידה רבה,בכלל לא,במידה מועטה,כנראה שלא,לעיתים רחוקות,מאוד לא בריא,600-700,כנראה שלא,לא סביר,עד 40 ₪,new,new
3/10/2024 20:16,3/10/2024 20:19,IP Address,46.19.85.177,100,175,TRUE,3/10/2024 20:19,R_4QnYYIxzU7uigmz,,,,,32.0821,34.8122,anonymous,HE,40-50,אישה,שפלה,נשוי/אה,"5,000-7,500 ₪",שליליים,במתינות,לא,במתינות,ניטראלי,לעיתים רחוקות,ניטראלי,500-600,ניטראלי,לא סביר,עד 50 ₪,new,new
3/10/2024 19:49,3/10/2024 20:20,IP Address,77.126.6.231,100,1860,TRUE,3/10/2024 20:20,R_4pcfHsqK1t8O3Wf,,,,,32.0803,34.7805,anonymous,HE,25-30,גבר,שרון,גרוש/ה,"7,500-10,000 ₪",חיוביים מאוד,מעט,ניטראלי,במידה רבה,כנראה שכן,לעיתים רחוקות,לא בריא,500-600,ניטראלי,סביר,עד 40 ₪,old,old
3/10/2024 19:57,3/10/2024 20:25,IP Address,5.22.128.221,100,1691,TRUE,3/10/2024 20:25,R_1hHf64KQGcdcasx,,,,,32.0803,34.7805,anonymous,HE,30-40,גבר,גוש דן,רווק/ה,"10,000-20,000 ₪",ניטראליים,במתינות,בכלל לא,בכלל לא,בכלל לא,לפעמים,לא בריא,500-600,כנראה שלא,לא סביר כלל,עד 50 ₪,old,old
3/10/2024 20:42,3/10/2024 20:43,IP Address,2.54.181.168,100,85,TRUE,3/10/2024 20:43,R_4wtx6NLi90tiCNA,,,,,32.0803,34.7805,anonymous,HE,25-30,גבר,צפון,רווק/ה,"מעל 20,000 ₪",חיוביים מאוד,מעט,לא,במידה רבה,ניטראלי,לפעמים,ניטראלי,500-600,ניטראלי,ללא שינוי,עד 50 ₪,new,old
